1050,0
12918 4 15985,1
2652 4 3200 4 4359 4 3838,2
440 4 857,3
3236,4
6002,5
41,6
102,7
223,8
7,9
8366 4 1066,10
7388,11
7 2882,12
7034 4 4117,13
32,14
5621 7,15
7,16
320 484 4 514,17
116,18
666,19
791,20
27886,21
3274,22
685,23
29 995,24
1841,25
341,26
597,27
5175 4 7551 4 514,28
280 4 93,29
29935 4 18359,30
380 3442 4 1091,31
73 2772,32
4598,33
633,34
3781,35
869,36
5151 3803 4 5526,37
3649 4451 4 6718,38
1569 4 165 4 2405,39
1079,40
274 927,41
7 152 442,42
34268 262,43
19520,44
2342 3385,45
27204,46
7978,47
14100,48
19545,49
2219,50
6405,51
3303 4 2720,52
1842,53
1096 4 1246,54
3218,55
5034 19312 55,56
15812 15820,57
2473 4 190 4 3007,58
196942,59
1765,60
7687,61
1023,62
2054,63
1049,64
25369,65
15074,66
897,67
7201,68
1034 7234,69
4545,70
3279,71
991 6809,72
14007,73
26316,74
9885,75
16385 10249,76
4595 4 4440,77
90 4 57,78
5930,79
983 4 979,80
11308,81
7 4674 9,82
2174 26996,83
2174 9,84
349212 4 369240,85
2174 1045 266,86
1260,87
38,88
389 4 293,89
32,90
96,91
7566 20,92
1371 2125 20,93
7 1516 4 20,94
1169,95
2536,96
1205 4 2884,97
415 4 541,98
6723 61 122,99
3 113,100
3 719,101
3 9 4 316 4 1071 352,102
1209 61 122,103
459,104
2541 2964,105
7 12049,106
7 561 65,107
1219,108
6732,109
1973,110
3365,111
1178 1385 4 8 2648,112
4565,113
12094,114
900 4 522,115
12137,116
618,117
1243,118
1024,119
7,120
7971,121
31474,122
2333 2322,123
1804,124
7 937,125
11246,126
2896 4 5572,127
14213 4 9458,128
9065 788 1938,129
17180,130
4133,131
5948,132
4831 4 36149 4 11853,133
7 3531 4 474 95,134
663 5307 5967,135
8 10085 5410,136
8 111 9398,137
787 122,138
1191 4 1783,139
97 13346 15 8 3331 12421 919 16,140
8119 65,141
8420,142
4498 1906,143
10270,144
25344,145
1927,146
8045,147
5980,148
8 3178,149
5045 4 4795,150
30756 4 976,151
559 10639 2823 464,152
15826,153
8037,154
11361 4 15669,155
10386 4 3200,156
12485 4 3313,157
8341 4 3203,158
7,159
5566,160
40103,161
8 898 4 565 4 2365 30,162
1964 4 8597 4 797 1034,163
2688 15 2221 16,164
7 1064,165
9439,166
7380,167
5041,168
4579,169
1208 30,170
7,171
16513,172
277,173
